Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,home_elo,away_elo,goal_diff,total_goals,Over_2.5,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_fouls,away_fouls,home_cards,away_cards,boring_match,home_xG,away_xG,home_form,away_form,home_shots_last5,away_shots_last5,home_shots_on_target_last5,away_shots_on_target_last5,home_cards_last5,away_cards_last5,home_fouls_last5,away_fouls_last5,home_xg_last5,away_xg_last5,elo_diff,match_weight
E0,2020-09-12,12:30,Fulham,Arsenal,0,3,A,0,1,A,C Kavanagh,5,13,2,6,12,12,2,3,2,2,0,0,1501.9169527122872,1640.4870353311105,-3,3,1,5,13,2,6,12,12,2,2,0,1.1,3.0999999999999996,0.6,0.6,9.6,14.4,2.6,4.0,1.2,2.4,6.8,11.8,1.7399999999999998,2.6399999999999997,-138.57008261882333,0.1348695354408394
E0,2020-09-12,15:00,Crystal Palace,Southampton,1,0,H,1,0,H,J Moss,5,9,3,5,14,11,7,3,2,1,0,0,1510.0983156552381,1399.5710846506847,1,1,0,5,9,3,5,14,11,2,1,0,1.4,2.4,0.8,0.8,9.4,16.0,2.8,3.8,1.4,2.4,7.4,12.4,1.78,2.7399999999999998,110.52723100455341,0.1348695354408394
E0,2020-09-12,17:30,Liverpool,Leeds,4,3,H,3,2,H,M Oliver,22,6,6,3,9,6,9,0,1,0,0,0,1742.0731341394994,1434.1746739494781,1,7,1,22,6,6,3,9,6,1,0,0,4.0,1.5,0.6,1.0,9.4,15.2,2.6,3.8,1.6,2.0,8.6,11.6,1.7200000000000002,2.66,307.8984601900213,0.1348695354408394
E0,2020-09-12,20:00,West Ham,Newcastle,0,2,A,0,0,D,S Attwell,15,15,3,2,13,7,8,7,2,2,0,0,1501.9851493240533,1570.447964395175,-2,2,0,15,15,3,2,13,7,2,2,0,2.4,2.1,1.0,1.0,8.4,13.2,2.8,3.8,2.0,2.0,10.0,11.6,1.6800000000000002,2.46,-68.46281507112167,0.1348695354408394
E0,2020-09-13,14:00,West Brom,Leicester,0,3,A,0,0,D,A Taylor,7,13,1,7,12,9,2,5,1,1,0,0,1500.0,1480.1678761006008,-3,3,1,7,13,1,7,12,9,1,1,0,1.0,3.4000000000000004,1.0,1.0,10.2,11.2,3.6,3.6,1.6,1.4,11.8,11.2,2.1,2.1999999999999997,19.83212389939922,0.13488049733934296
E0,2020-09-13,16:30,Tottenham,Everton,0,1,A,0,0,D,M Atkinson,9,15,5,4,15,7,5,3,1,0,0,0,1605.7804819027974,1440.870682171363,-1,1,0,9,15,5,4,15,7,1,0,0,2.4,2.7,1.8,1.0,11.4,12.4,4.4,4.2,2.0,0.8,12.2,9.2,2.46,2.5,164.90979973143453,0.13488049733934296
E0,2020-09-14,20:15,Brighton,Chelsea,1,3,A,0,1,A,C Pawson,13,10,3,5,8,13,4,3,1,0,0,0,1540.4704571466207,1592.2390569545644,-2,4,1,13,10,3,5,8,13,1,0,0,2.2,2.5,1.6,1.6,12.4,13.4,5.0,5.8,2.0,0.2,12.2,8.8,2.74,3.08,-51.7685998079437,0.1348914676310476
E0,2020-09-14,18:00,Sheffield United,Wolves,0,2,A,0,2,A,M Dean,9,11,2,4,13,7,12,5,2,1,0,0,1352.9474997623565,1475.849901460525,-2,2,0,9,11,2,4,13,7,2,1,0,1.5,2.3,2.0,1.4,11.6,15.0,5.2,6.4,2.4,1.0,12.8,9.4,2.7199999999999998,3.4200000000000004,-122.90240169816843,0.1348914676310476
E0,2020-09-19,17:30,Man United,Crystal Palace,1,3,A,0,1,A,M Atkinson,13,14,4,5,13,10,9,3,2,1,0,0,1566.5226716933055,1517.0202287403113,-2,4,1,13,14,4,5,13,10,2,1,0,2.5,2.9000000000000004,1.2,2.0,12.0,19.4,4.2,6.6,1.6,1.6,8.2,9.8,2.46,3.9200000000000004,49.502442952994215,0.13494644539579598
E0,2020-09-19,15:00,Leeds,Fulham,4,3,H,2,1,H,A Taylor,10,14,7,6,13,18,5,3,1,2,0,0,1431.269806488848,1495.7064847904928,1,7,1,10,14,7,6,13,18,1,2,0,3.1,3.2,1.8,1.6,10.6,18.0,4.4,7.2,2.0,1.6,9.4,10.2,2.38,3.96,-64.43667830164486,0.13494644539579598
