iter	Passed	Remaining
0	4	1200
1	7	1170
2	10	1030
3	12	937
4	14	860
5	16	816
6	18	775
7	20	751
8	22	732
9	24	720
10	26	705
11	28	694
12	30	683
13	33	674
14	35	666
15	37	658
16	39	652
17	41	646
18	43	637
19	45	632
20	47	628
21	49	621
22	51	615
23	53	610
24	55	605
25	57	600
26	59	596
27	60	592
28	62	588
29	64	584
30	66	580
31	68	576
32	70	573
33	72	570
34	74	567
35	76	564
36	78	560
37	80	557
38	82	554
39	84	550
40	86	547
41	88	544
42	90	542
43	92	539
44	94	536
45	96	533
46	98	530
47	100	528
48	102	525
49	104	522
50	106	519
51	108	516
52	110	514
53	112	512
54	114	509
55	116	506
56	118	504
57	120	501
58	122	498
59	123	495
60	125	493
61	128	491
62	129	489
63	131	486
64	133	484
65	135	481
66	137	479
67	139	477
68	141	474
69	143	472
70	145	470
71	147	467
72	149	465
73	151	462
74	153	460
75	155	458
76	157	455
77	159	453
78	161	451
79	163	448
80	165	446
81	167	444
82	169	441
83	170	439
84	172	437
85	174	434
86	176	432
87	178	430
88	180	427
89	182	425
90	184	423
91	186	421
92	188	419
93	190	417
94	192	414
95	194	412
96	196	410
97	198	408
98	200	406
99	202	404
100	204	402
101	206	400
102	208	397
103	210	395
104	212	393
105	214	391
106	216	389
107	218	387
108	220	385
109	221	383
110	223	381
111	225	379
112	227	377
113	229	374
114	231	372
115	233	370
116	235	368
117	237	366
118	239	364
119	241	362
120	243	359
121	245	357
122	247	355
123	249	353
124	251	351
125	253	349
126	254	347
127	257	345
128	258	343
129	260	341
130	262	339
131	265	337
132	267	335
133	268	333
134	270	331
135	272	328
136	274	327
137	276	325
138	278	322
139	280	320
140	282	318
141	284	316
142	286	314
143	288	312
144	290	310
145	292	308
146	294	306
147	296	304
148	298	302
149	300	300
150	302	298
151	304	296
152	306	294
153	308	292
154	310	290
155	312	288
156	314	286
157	316	284
158	318	282
159	320	280
160	322	278
161	324	276
162	326	274
163	327	271
164	329	269
165	331	267
166	333	265
167	335	263
168	337	261
169	339	259
170	341	257
171	343	255
172	345	253
173	348	252
174	349	249
175	351	247
176	353	245
177	355	243
178	357	241
179	359	239
180	361	237
181	363	235
182	365	233
183	367	231
184	369	229
185	371	227
186	373	225
187	375	223
188	377	221
189	379	219
190	381	217
191	383	215
192	385	213
193	386	211
194	388	209
195	390	207
196	392	205
197	394	203
198	396	201
199	398	199
200	400	197
201	402	195
202	404	193
203	406	191
204	408	189
205	410	187
206	412	185
207	414	183
208	416	181
209	418	179
210	420	177
211	422	175
212	424	173
213	426	171
214	428	169
215	430	167
216	432	165
217	434	163
218	436	161
219	438	159
220	440	157
221	442	155
222	444	153
223	446	151
224	448	149
225	450	147
226	452	145
227	454	143
228	455	141
229	457	139
230	459	137
231	461	135
232	463	133
233	465	131
234	467	129
235	469	127
236	471	125
237	473	123
238	475	121
239	477	119
240	479	117
241	481	115
242	483	113
243	485	111
244	487	109
245	489	107
246	491	105
247	493	103
248	495	101
249	496	99
250	498	97
251	500	95
252	502	93
253	504	91
254	506	89
255	508	87
256	510	85
257	512	83
258	514	81
259	516	79
260	518	77
261	520	75
262	522	73
263	524	71
264	526	69
265	528	67
266	530	65
267	532	63
268	534	61
269	536	59
270	538	57
271	540	55
272	542	53
273	543	51
274	545	49
275	547	47
276	549	45
277	551	43
278	553	41
279	555	39
280	557	37
281	559	35
282	561	33
283	563	31
284	565	29
285	567	27
286	569	25
287	571	23
288	573	21
289	575	19
290	577	17
291	579	15
292	581	13
293	583	11
294	585	9
295	587	7
296	589	5
297	591	3
298	593	1
299	595	0
