Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Avg>2.5,Avg<2.5,FTG,target_over25,elo_home,elo_away,elo_diff,home_team_target_enc,away_team_target_enc,home_team_avg_goals_enc,away_team_avg_goals_enc,league_avg_goals,league_over25_ratio,goals_vs_weak_home,conceded_vs_weak_home,shots_vs_weak_home,shots_on_vs_weak_home,conversion_vs_weak_home,efficiency_vs_weak_home,goals_vs_average_home,conceded_vs_average_home,shots_vs_average_home,shots_on_vs_average_home,conversion_vs_average_home,efficiency_vs_average_home,goals_vs_strong_home,conceded_vs_strong_home,shots_vs_strong_home,shots_on_vs_strong_home,conversion_vs_strong_home,efficiency_vs_strong_home,goals_vs_weak_away,conceded_vs_weak_away,shots_vs_weak_away,shots_on_vs_weak_away,conversion_vs_weak_away,efficiency_vs_weak_away,goals_vs_average_away,conceded_vs_average_away,shots_vs_average_away,shots_on_vs_average_away,conversion_vs_average_away,efficiency_vs_average_away,goals_vs_strong_away,conceded_vs_strong_away,shots_vs_strong_away,shots_on_vs_strong_away,conversion_vs_strong_away,efficiency_vs_strong_away,goals_home_last5_mean,goals_home_last5_median,goals_home_last5_var,conceded_home_last5_mean,conceded_home_last5_median,conceded_home_last5_var,shots_home_last5_mean,shots_home_last5_median,shots_home_last5_var,shots_on_target_home_last5_mean,shots_on_target_home_last5_median,shots_on_target_home_last5_var,corners_home_last5_mean,corners_home_last5_median,corners_home_last5_var,fouls_home_last5_mean,fouls_home_last5_median,fouls_home_last5_var,yellow_home_last5_mean,yellow_home_last5_median,yellow_home_last5_var,red_home_last5_mean,red_home_last5_median,red_home_last5_var,shot_conversion_rate_home,attacking_pressure_home,disciplinary_index_home,goal_per_shot_on_target_home,goals_away_last5_mean,goals_away_last5_median,goals_away_last5_var,conceded_away_last5_mean,conceded_away_last5_median,conceded_away_last5_var,shots_away_last5_mean,shots_away_last5_median,shots_away_last5_var,shots_on_target_away_last5_mean,shots_on_target_away_last5_median,shots_on_target_away_last5_var,corners_away_last5_mean,corners_away_last5_median,corners_away_last5_var,fouls_away_last5_mean,fouls_away_last5_median,fouls_away_last5_var,yellow_away_last5_mean,yellow_away_last5_median,yellow_away_last5_var,red_away_last5_mean,red_away_last5_median,red_away_last5_var,shot_conversion_rate_away,attacking_pressure_away,disciplinary_index_away,goal_per_shot_on_target_away,tempo_score,tempo_score_norm,conversion_rate_diff,attacking_pressure_diff,goal_per_shot_on_target_diff,disciplinary_index_diff,match_weight,elo_home_norm,elo_away_norm,home_advantage_weight,home_advantage_weight_norm,sample_uncertainty_weight,recent_goal_variance_raw,recent_goal_variance_weight,style_chaos_index,style_chaos_index_norm,style_chaos_diff,elo_all,elo_all_norm,elo_weak_threshold,elo_strong_threshold,home_xg_proxy,away_xg_proxy,xg_proxy_diff,low_tempo_index,defense_suppression_score,opponent_strength_home,opponent_strength_away,mask_HomeTeam_weak,mask_HomeTeam_average,mask_HomeTeam_strong,mask_AwayTeam_weak,mask_AwayTeam_average,mask_AwayTeam_strong,h2h_avg_goals_total,h2h_avg_goals_total_adj,h2h_over25_ratio
E0,2020-09-12,20:00,West Ham,Newcastle,0,2,A,0,0,D,15,15,3,2,13,7,8,7,2,2,0,0,1.97,1.86,2,0,1500.0,1500.0,0.0,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3681215467508422,-0.23262015502687133,-0.24620964768984036,0.013589492662969022,0.009441653638004997,1.0,0.0,0.0,,,,1500.0,-0.34481857092303153,-0.34481857092303153,-0.34481857092303153,,,,0,,strong,strong,False,False,True,False,False,True,3.5,1.5,0.5
E0,2020-09-12,12:30,Fulham,Arsenal,0,3,A,0,1,A,5,13,2,6,12,12,2,3,2,2,0,0,1.76,2.1,3,1,1500.0,1500.0,0.0,,,,,2.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3683638116626347,-0.23262015502687133,-0.24620964768984036,0.013589492662969022,0.009441653638004997,1.0,0.0,0.0,,,,1500.0,-0.34481857092303153,-0.34481857092303153,-0.34481857092303153,,,,0,,strong,strong,False,False,True,False,False,True,3.0,0.5,1.0
E0,2020-09-12,17:30,Liverpool,Leeds,4,3,H,3,2,H,22,6,6,3,9,6,9,0,1,0,0,0,1.52,2.53,7,1,1500.0,1500.0,0.0,,,,,4.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3686062360116784,-0.23262015502687133,-0.24620964768984036,0.013589492662969022,0.009441653638004997,1.0,0.0,0.0,,,,1500.0,-0.34481857092303153,-0.34481857092303153,-0.34481857092303153,,,,0,,strong,strong,False,False,True,False,False,True,5.333333333333333,1.333333333333333,1.0
E0,2020-09-12,15:00,Crystal Palace,Southampton,1,0,H,1,0,H,5,9,3,5,14,11,7,3,2,1,0,0,2.24,1.67,1,0,1500.0,1500.0,0.0,,,,,3.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3688488199029006,-0.23262015502687133,-0.24620964768984036,0.013589492662969022,0.009441653638004997,1.0,0.0,0.0,,,,1500.0,-0.34481857092303153,-0.34481857092303153,-0.34481857092303153,,,,0,,strong,strong,False,False,True,False,False,True,2.0,-1.25,0.3333333333333333
E0,2020-09-13,16:30,Tottenham,Everton,0,1,A,0,0,D,9,15,5,4,15,7,5,3,1,0,0,0,1.94,1.88,1,0,1500.0,1500.0,0.0,,,,,2.8,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3690915634412978,-0.23262015502687133,-0.24620964768984036,0.013589492662969022,0.009441653638004997,1.0,0.0,0.0,,,,1500.0,-0.34481857092303153,-0.34481857092303153,-0.34481857092303153,,,,0,,strong,strong,False,False,True,False,False,True,2.75,-0.04999999999999982,0.5
E0,2020-09-13,14:00,West Brom,Leicester,0,3,A,0,0,D,7,13,1,7,12,9,2,5,1,1,0,0,1.92,1.9,3,1,1500.0,1500.0,0.0,,,,,2.8333333333333335,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36933446673193565,-0.23262015502687133,-0.24620964768984036,0.013589492662969022,0.009441653638004997,1.0,0.0,0.0,,,,1500.0,-0.34481857092303153,-0.34481857092303153,-0.34481857092303153,,,,0,,strong,strong,False,False,True,False,False,True,,,
E0,2020-09-14,18:00,Sheffield United,Wolves,0,2,A,0,2,A,9,11,2,4,13,7,12,5,2,1,0,0,2.68,1.48,2,0,1500.0,1500.0,0.0,,,,,2.7142857142857144,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3695775298799489,-0.23262015502687133,-0.24620964768984036,0.013589492662969022,0.009441653638004997,1.0,0.0,0.0,,,,1500.0,-0.34481857092303153,-0.34481857092303153,-0.34481857092303153,,,,0,,strong,strong,False,False,True,False,False,True,2.5,-0.2142857142857144,0.5
E0,2020-09-14,20:15,Brighton,Chelsea,1,3,A,0,1,A,13,10,3,5,8,13,4,3,1,0,0,0,1.76,2.08,4,1,1500.0,1500.0,0.0,,,,,2.875,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36982075299054146,-0.23262015502687133,-0.24620964768984036,0.013589492662969022,0.009441653638004997,1.0,0.0,0.0,,,,1500.0,-0.34481857092303153,-0.34481857092303153,-0.34481857092303153,,,,0,,strong,strong,False,False,True,False,False,True,3.5,0.625,0.75
E0,2020-09-19,15:00,Leeds,Fulham,4,3,H,2,1,H,10,14,7,6,13,18,5,3,1,2,0,0,1.93,1.91,7,1,1485.0,1485.0,0.0,,,,,3.3333333333333335,0.5555555555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37055138315087294,-0.392417765216937,-0.4057746217405657,0.013356856523628724,0.009280023626803838,1.0,0.0,0.0,,,,1485.0,-0.574795515293878,-0.34481857092303153,-0.34481857092303153,,,,0,,strong,strong,False,False,True,False,False,True,6.0,2.6666666666666665,1.0
E0,2020-09-19,12:30,Everton,West Brom,5,2,H,2,1,H,17,6,7,4,9,11,11,1,1,0,0,1,1.81,2.03,7,1,1515.0,1485.0,30.0,,,,,3.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37079524716520734,-0.07282254483680568,-0.4057746217405657,0.33295207690376005,0.2313271191312385,0.9302325581395349,0.0,0.0,,,,1500.0,-0.34481857092303153,-0.34481857092303153,-0.34481857092303153,,,,0,,strong,strong,False,False,True,False,False,True,,,
