Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Avg>2.5,Avg<2.5,target_result,elo_home,elo_away,elo_diff,goals_home_last5,conceded_home_last5,shots_home_last5,shots_on_target_home_last5,corners_home_last5,fouls_home_last5,yellow_home_last5,red_home_last5,goals_away_last5,conceded_away_last5,shots_away_last5,shots_on_target_away_last5,corners_away_last5,fouls_away_last5,yellow_away_last5,red_away_last5,goal_diff_last5,chaos_index_prenorm,chaos_index,disciplinary_index_home_prenorm,disciplinary_index_away_prenorm,disciplinary_index_home,disciplinary_index_away,form_home_last5_avg,form_away_last5_avg,h2h_draw_ratio,h2h_home_win_ratio,h2h_away_win_ratio,draw_tendency_index,draw_rate_home,draw_rate_away,elo_diff_close,elo_all,elo_weak_threshold,elo_strong_threshold,opponent_strength_home,opponent_strength_away,mask_HomeTeam_weak,mask_HomeTeam_average,mask_HomeTeam_strong,goals_vs_weak_home,goals_vs_average_home,goals_vs_strong_home,shots_vs_weak_home,shots_vs_average_home,shots_vs_strong_home,shots_on_vs_weak_home,shots_on_vs_average_home,shots_on_vs_strong_home,mask_AwayTeam_weak,mask_AwayTeam_average,mask_AwayTeam_strong,goals_vs_weak_away,goals_vs_average_away,goals_vs_strong_away,shots_vs_weak_away,shots_vs_average_away,shots_vs_strong_away,shots_on_vs_weak_away,shots_on_vs_average_away,shots_on_vs_strong_away,conversion_vs_weak_home,efficiency_vs_weak_home,conversion_vs_average_home,efficiency_vs_average_home,conversion_vs_strong_home,efficiency_vs_strong_home,conversion_vs_weak_away,efficiency_vs_weak_away,conversion_vs_average_away,efficiency_vs_average_away,conversion_vs_strong_away,efficiency_vs_strong_away
E0,2020-09-12,20:00,West Ham,Newcastle,0.0,2.0,A,0.0,0.0,D,15.0,15.0,3.0,2.0,13.0,7.0,8.0,7.0,2.0,2.0,0.0,0.0,1.97,1.86,2.0,1500.0,1500.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1500.0,1500.0,1500.0,strong,strong,False,False,True,,,,,,,,,,False,False,True,,,,,,,,,,,,,,,,,,,,,
E0,2020-09-12,15:00,Crystal Palace,Southampton,1.0,0.0,H,1.0,0.0,H,5.0,9.0,3.0,5.0,14.0,11.0,7.0,3.0,2.0,1.0,0.0,0.0,2.24,1.67,0.0,1500.0,1500.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1500.0,1500.0,1500.0,strong,strong,False,False,True,,,,,,,,,,False,False,True,,,,,,,,,,,,,,,,,,,,,
E0,2020-09-19,17:30,Man United,Crystal Palace,1.0,3.0,A,0.0,1.0,A,13.0,14.0,4.0,5.0,13.0,10.0,9.0,3.0,2.0,1.0,0.0,0.0,1.66,2.24,2.0,1500.0,1515.0,-15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1507.5,1500.0,1502.4,strong,average,False,False,True,,,,,,,,,,False,True,False,,,,,,,,,,,,,,,,,,,,,
E0,2020-09-20,14:00,Newcastle,Brighton,0.0,3.0,A,0.0,2.0,A,6.0,13.0,0.0,6.0,16.0,15.0,7.0,1.0,3.0,0.0,0.0,1.0,2.38,1.59,2.0,1515.0,1500.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1507.5,1500.0,1507.35,average,strong,False,True,False,,,,,,,,,,False,False,True,,,,,,,,,,,,,,,,,,,,,
E0,2020-09-26,15:00,Crystal Palace,Everton,1.0,2.0,A,1.0,2.0,A,8.0,10.0,1.0,5.0,16.0,15.0,7.0,6.0,3.0,1.0,0.0,0.0,2.16,1.71,2.0,1529.3528000084657,1500.0,29.352800008465692,1.0,0.0,5.0,3.0,7.0,14.0,2.0,0.0,,,,,,,,,,,,0.14184397163120568,,-0.3030152515721514,,1.5,,,,,0.0,0.0,,0,1514.6764000042328,1502.4,1507.5,weak,strong,True,False,False,,,1.0,,,5.0,,,3.0,False,False,True,,,,,,,,,,,,,,0.1996007984031936,0.33222591362126247,,,,,,
E0,2020-09-27,14:00,Tottenham,Newcastle,1.0,1.0,D,1.0,0.0,H,23.0,6.0,12.0,1.0,15.0,9.0,10.0,4.0,1.0,4.0,0.0,0.0,1.75,2.1,1.0,1500.0,1499.3528000084657,0.6471999915343076,,,,,,,,,2.0,0.0,15.0,2.0,7.0,7.0,2.0,0.0,,,,,0.28169014084507044,,0.9140856275822892,,1.5,,,,,,0.0,1,1499.6764000042328,1500.0,1507.5,weak,average,True,False,False,,,,,,,,,,False,True,False,,,2.0,,,15.0,,,2.0,,,,,,,,,,,0.13324450366422386,0.9950248756218907
E0,2020-10-03,12:30,Chelsea,Crystal Palace,4.0,0.0,H,0.0,0.0,D,17.0,4.0,6.0,0.0,17.0,13.0,8.0,5.0,2.0,0.0,0.0,0.0,1.62,2.33,0.0,1500.0,1513.0885442384276,-13.08854423842763,,,,,,,,,3.0,1.0,14.0,5.0,3.0,10.0,1.0,0.0,,,,,0.09900990099009901,,-0.6328799518192174,,1.5,,,,,,0.0,1,1506.544272119214,1500.0,1507.4617708847686,strong,average,False,False,True,,,,,,,,,,False,True,False,,3.0,,,14.0,,,5.0,,,,,,,,,,0.21413276231263384,0.5988023952095809,,
E0,2020-10-03,20:00,Newcastle,Burnley,3.0,1.0,H,1.0,0.0,H,10.0,7.0,5.0,3.0,13.0,17.0,3.0,4.0,2.0,3.0,0.0,0.0,2.31,1.62,0.0,1499.3807418458844,1500.0,-0.6192581541156414,0.0,3.0,6.0,0.0,7.0,16.0,3.0,0.0,,,,,,,,,,,,0.18633540372670807,,0.39630626665106694,,0.0,,,,,0.0,0.0,,1,1499.6903709229423,1500.0,1507.1368234053014,average,weak,False,True,False,,0.0,,,6.0,,,0.0,,True,False,False,,,,,,,,,,,,0.0,0.0,,,,,,,,
E0,2020-10-17,20:00,Newcastle,Man United,1.0,4.0,A,1.0,1.0,D,7.0,28.0,4.0,14.0,9.0,12.0,0.0,7.0,1.0,1.0,0.0,0.0,1.74,2.11,2.0,1514.4074773412176,1485.6471999915343,28.760277349683292,1.5,2.0,8.0,2.5,5.0,14.5,2.5,0.0,,,,,,,,,,,,0.17123287671232876,,0.15892298579752556,,1.0,,,,,0.0,0.0,,0,1500.027338666376,1500.0,1506.811875925834,weak,strong,True,False,False,,1.5,,,8.0,,,2.5,,False,False,True,,,,,,,,,,,,0.18726591760299627,0.5976095617529881,,,,,,,,
E0,2020-10-18,14:00,Crystal Palace,Brighton,1.0,1.0,D,1.0,0.0,H,1.0,20.0,1.0,3.0,13.0,12.0,2.0,5.0,3.0,2.0,0.0,1.0,2.19,1.69,1.0,1497.5237335219426,1515.6471999915343,-18.123466469591676,1.0,1.0,6.5,2.0,7.0,15.0,2.5,0.0,3.0,0.0,13.0,6.0,1.0,15.0,0.0,1.0,-2.0,57.5,-0.11200893300038739,0.16556291390728478,0.13245033112582782,0.06980184920247845,-0.34970102441348183,1.0,1.5,,,,0.0,0.0,0.0,1,1506.5854667567385,1500.0,1506.582995078487,strong,weak,False,False,True,1.0,,1.0,8.0,,5.0,1.0,,3.0,True,False,False,,,3.0,,,13.0,,,6.0,0.12484394506866417,0.9900990099009901,,,0.1996007984031936,0.33222591362126247,,,,,0.23059185242121447,0.49916805324459235
