feature,importance
shots_vs_strong_home,0.040214658
shots_on_vs_strong_away,0.039072968
shots_vs_average_home,0.038326122
shots_vs_strong_away,0.038036365
shots_on_vs_weak_home,0.03614952
shots_vs_weak_home,0.03556461
efficiency_vs_average_away,0.03538831
shots_on_vs_average_away,0.035152942
shots_vs_weak_away,0.034901537
efficiency_vs_strong_away,0.034141507
efficiency_vs_weak_away,0.033977926
efficiency_vs_weak_home,0.033880185
shots_vs_average_away,0.033657894
goals_vs_average_away,0.033318385
conversion_vs_weak_home,0.032913785
shots_on_vs_weak_away,0.032846488
conversion_vs_strong_home,0.032423418
efficiency_vs_average_home,0.032400113
conversion_vs_average_home,0.032338206
goals_vs_weak_home,0.031790916
conversion_vs_average_away,0.03175322
goals_vs_weak_away,0.031633053
conversion_vs_weak_away,0.03155977
efficiency_vs_strong_home,0.03130136
conversion_vs_strong_away,0.030810902
shots_on_vs_average_home,0.030369535
goals_vs_strong_home,0.030278703
goals_vs_strong_away,0.029064976
goals_vs_average_home,0.028553663
shots_on_vs_strong_home,0.02817894
