feature,importance
goals_vs_weak_home,0.04668229
shots_on_vs_weak_away,0.043410383
shots_vs_strong_away,0.04044997
goals_vs_average_home,0.039476633
shots_vs_weak_away,0.037472706
shots_on_vs_strong_away,0.037126917
conversion_vs_weak_home,0.035926767
shots_on_vs_weak_home,0.035897814
goals_vs_average_away,0.03465004
conversion_vs_strong_home,0.034494914
shots_on_vs_average_away,0.034357116
efficiency_vs_average_home,0.033758163
conversion_vs_average_away,0.033477224
shots_vs_weak_home,0.03332536
shots_vs_strong_home,0.03329622
efficiency_vs_weak_away,0.033279236
goals_vs_strong_away,0.033032324
conversion_vs_strong_away,0.031876203
efficiency_vs_weak_home,0.03179258
efficiency_vs_strong_home,0.03163671
shots_vs_average_home,0.030944807
shots_vs_average_away,0.029739533
conversion_vs_weak_away,0.02961267
shots_on_vs_strong_home,0.029530311
efficiency_vs_average_away,0.029434051
conversion_vs_average_home,0.028904228
shots_on_vs_average_home,0.028224736
goals_vs_weak_away,0.027455186
goals_vs_strong_home,0.026170664
efficiency_vs_strong_away,0.024564281
