feature,importance
goals_vs_weak_home,0.044794846
shots_vs_average_away,0.043302435
shots_vs_strong_home,0.04173584
shots_on_vs_strong_home,0.037757404
goals_vs_strong_home,0.03636714
shots_vs_weak_home,0.03625674
shots_on_vs_average_away,0.03545276
shots_vs_weak_away,0.035268936
conversion_vs_strong_away,0.03402
efficiency_vs_strong_home,0.033536747
conversion_vs_weak_home,0.033427622
shots_vs_average_home,0.03308722
conversion_vs_average_away,0.032854453
goals_vs_average_home,0.03282345
goals_vs_strong_away,0.032599464
shots_vs_strong_away,0.032490853
conversion_vs_average_home,0.032443747
shots_on_vs_weak_away,0.03234869
shots_on_vs_average_home,0.032168493
efficiency_vs_average_away,0.031907134
shots_on_vs_strong_away,0.03184604
efficiency_vs_weak_home,0.03178241
efficiency_vs_weak_away,0.031514313
conversion_vs_strong_home,0.03144767
efficiency_vs_strong_away,0.029622864
efficiency_vs_average_home,0.029499032
shots_on_vs_weak_home,0.028677018
goals_vs_average_away,0.028220039
conversion_vs_weak_away,0.027240759
goals_vs_weak_away,0.025505858
