feature,importance
shots_on_vs_weak_home,0.04312166
shots_vs_average_away,0.041981705
goals_vs_strong_away,0.04036055
shots_on_vs_weak_away,0.038037922
shots_vs_strong_away,0.036277182
shots_vs_weak_away,0.035370275
shots_vs_weak_home,0.035200838
shots_vs_strong_home,0.034985676
shots_on_vs_average_away,0.034421325
goals_vs_average_home,0.03402231
efficiency_vs_average_away,0.03401466
shots_vs_average_home,0.03395998
conversion_vs_strong_home,0.033789903
shots_on_vs_average_home,0.03354927
efficiency_vs_strong_away,0.03317858
goals_vs_weak_away,0.033122927
shots_on_vs_strong_away,0.03270632
conversion_vs_average_away,0.032210227
conversion_vs_average_home,0.032162443
efficiency_vs_weak_home,0.032066397
conversion_vs_weak_home,0.031834528
efficiency_vs_strong_home,0.0318183
goals_vs_weak_home,0.03037717
efficiency_vs_weak_away,0.03028378
conversion_vs_strong_away,0.029465083
goals_vs_average_away,0.029068619
shots_on_vs_strong_home,0.028591447
goals_vs_strong_home,0.028386163
conversion_vs_weak_away,0.028144281
efficiency_vs_average_home,0.027490377
