feature,importance
shots_on_vs_average_away,0.04392646
shots_on_vs_weak_home,0.04233386
shots_vs_weak_away,0.040145025
shots_on_vs_strong_away,0.039712034
shots_vs_weak_home,0.039560407
goals_vs_strong_away,0.037165914
shots_vs_strong_home,0.03671989
shots_vs_average_home,0.033941794
shots_vs_average_away,0.033792075
efficiency_vs_weak_home,0.03366785
shots_on_vs_weak_away,0.03285353
conversion_vs_average_away,0.03268439
conversion_vs_weak_home,0.032513946
efficiency_vs_weak_away,0.03250988
goals_vs_weak_home,0.032225583
efficiency_vs_strong_away,0.032172676
efficiency_vs_average_away,0.03185131
goals_vs_strong_home,0.031615045
shots_vs_strong_away,0.031567454
conversion_vs_strong_home,0.031294335
conversion_vs_strong_away,0.03126023
goals_vs_average_away,0.031196877
goals_vs_weak_away,0.03119057
shots_on_vs_average_home,0.03093704
goals_vs_average_home,0.030838069
efficiency_vs_strong_home,0.030169824
conversion_vs_average_home,0.029008731
shots_on_vs_strong_home,0.02875752
efficiency_vs_average_home,0.02866817
conversion_vs_weak_away,0.025719482
