feature,importance
goals_vs_weak_away,0.059984762
shots_on_vs_weak_home,0.057737365
shots_vs_average_away,0.041859563
goals_vs_weak_home,0.039821938
goals_vs_strong_home,0.039733957
goals_vs_average_away,0.037495386
shots_on_vs_weak_away,0.037356757
shots_vs_strong_away,0.03712921
shots_on_vs_strong_home,0.03629078
shots_vs_average_home,0.034690153
shots_on_vs_strong_away,0.03402794
goals_vs_strong_away,0.03127024
efficiency_vs_average_home,0.031194221
shots_on_vs_average_away,0.031088978
shots_vs_weak_home,0.030624716
efficiency_vs_strong_home,0.030295948
goals_vs_average_home,0.029938072
shots_vs_strong_home,0.029842984
efficiency_vs_strong_away,0.029425934
conversion_vs_weak_away,0.028865589
shots_vs_weak_away,0.027950313
conversion_vs_strong_away,0.027847525
conversion_vs_average_away,0.027720468
efficiency_vs_average_away,0.027589122
shots_on_vs_average_home,0.02745775
conversion_vs_strong_home,0.027436929
conversion_vs_average_home,0.027109416
efficiency_vs_weak_home,0.026785638
conversion_vs_weak_home,0.026009632
efficiency_vs_weak_away,0.025418736
