feature,importance
shots_vs_average_away,0.03874111
shots_vs_weak_away,0.03802569
goals_vs_strong_away,0.03792896
shots_on_vs_weak_home,0.036967173
shots_on_vs_strong_home,0.03678022
conversion_vs_average_home,0.03625349
goals_vs_average_home,0.03534844
shots_vs_weak_home,0.034224454
goals_vs_average_away,0.034052975
conversion_vs_strong_home,0.03379682
shots_vs_strong_away,0.03368441
conversion_vs_strong_away,0.033571083
efficiency_vs_average_home,0.033214197
efficiency_vs_strong_away,0.03316582
efficiency_vs_strong_home,0.032753035
efficiency_vs_average_away,0.032666568
conversion_vs_weak_away,0.032329477
shots_on_vs_weak_away,0.032238614
conversion_vs_average_away,0.03192068
shots_vs_average_home,0.031880487
goals_vs_weak_home,0.031823516
efficiency_vs_weak_away,0.031719513
shots_on_vs_strong_away,0.0316585
shots_on_vs_average_away,0.031582117
shots_vs_strong_home,0.031501062
conversion_vs_weak_home,0.030769583
shots_on_vs_average_home,0.030756582
goals_vs_strong_home,0.03052365
efficiency_vs_weak_home,0.030186478
goals_vs_weak_away,0.029935282
