feature,importance
shots_vs_weak_away,0.04039739
goals_vs_weak_away,0.039310314
shots_vs_strong_home,0.038852382
shots_on_vs_average_home,0.038782332
shots_on_vs_weak_home,0.037056264
shots_vs_average_away,0.035727207
shots_on_vs_average_away,0.035039857
goals_vs_average_home,0.034944925
conversion_vs_weak_away,0.03469718
goals_vs_weak_home,0.034426004
conversion_vs_average_home,0.033902504
shots_vs_weak_home,0.033615485
efficiency_vs_weak_home,0.03360948
conversion_vs_average_away,0.033601068
conversion_vs_strong_away,0.033394463
shots_vs_average_home,0.033114772
efficiency_vs_average_away,0.03292471
shots_on_vs_strong_home,0.032607283
conversion_vs_weak_home,0.03249851
shots_vs_strong_away,0.032327544
efficiency_vs_strong_home,0.031938296
shots_on_vs_strong_away,0.031548355
efficiency_vs_strong_away,0.03130709
conversion_vs_strong_home,0.031230675
efficiency_vs_average_home,0.031180942
efficiency_vs_weak_away,0.029428206
shots_on_vs_weak_away,0.029002374
goals_vs_strong_away,0.028624207
goals_vs_strong_home,0.028523557
goals_vs_average_away,0.026386596
