HomeTeam,AwayTeam,Date,goals_vs_weak_home,shots_vs_strong_away
NAC Breda,Almere City,2024-11-30,4.0,8.5
Feyenoord,For Sittard,2024-11-30,3.0,13.333333333333334
Zwolle,Sparta Rotterdam,2024-11-30,1.3333333333333333,17.0
Groningen,Heerenveen,2025-01-25,1.0,
PSV Eindhoven,NAC Breda,2025-01-25,3.8,7.0
AZ Alkmaar,Sparta Rotterdam,2025-01-26,2.0,17.0
Waalwijk,Willem II,2025-01-26,1.25,8.285714285714286
For Sittard,Zwolle,2025-01-26,2.0,8.666666666666666
Heracles,Groningen,2025-01-28,1.5,8.0
NAC Breda,Heracles,2025-01-31,2.5,6.0
Waalwijk,For Sittard,2025-02-28,1.5,13.0
Nijmegen,AZ Alkmaar,2025-03-29,1.5,14.0
Willem II,Almere City,2025-03-29,2.0,8.5
NAC Breda,Groningen,2025-03-29,2.0,8.0
Zwolle,Waalwijk,2025-03-29,1.2,10.0
For Sittard,Sparta Rotterdam,2025-03-29,1.5,13.5
Utrecht,Heerenveen,2025-03-30,1.25,
Feyenoord,Go Ahead Eagles,2025-03-30,2.5,8.4
Heracles,Twente,2025-03-30,1.4,11.0
PSV Eindhoven,Ajax,2025-03-30,3.4,10.6
